record_id,employee_id,employee_name,legal_entity,country,cost_center,payroll_period,posting_date,concept_code,concept_name,amount,currency
PAY000001,EMP0001,Alicia Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000002,EMP0001,Alicia Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
PAY000003,EMP0001,Alicia Alonso,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,315.00,EUR
PAY000004,EMP0002,Alicia Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2292.50,EUR
PAY000005,EMP0002,Alicia Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,655.00,EUR
PAY000006,EMP0002,Alicia Benitez,ARD Spain SL,Spain,HR-OPS,2026-03,2026-03-30,BASE_SALARY,Base Salary,327.50,EUR
PAY000007,EMP0003,Alicia Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2380.00,EUR
PAY000008,EMP0003,Alicia Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,680.00,EUR
PAY000009,EMP0003,Alicia Cabrera,ARD Spain SL,Spain,SALES,2026-03,2026-03-30,BASE_SALARY,Base Salary,340.00,EUR
PAY000010,EMP0004,Alicia Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,2467.50,EUR
PAY000011,EMP0004,Alicia Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,705.00,EUR
PAY000012,EMP0004,Alicia Dominguez,ARD Spain SL,Spain,TECH,2026-03,2026-03-30,BASE_SALARY,Base Salary,352.50,EUR
PAY000013,EMP0005,Alicia Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,2555.00,EUR
PAY000014,EMP0005,Alicia Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,730.00,EUR
PAY000015,EMP0005,Alicia Estevez,ARD Spain SL,Spain,CUSTOMER_SUCCESS,2026-03,2026-03-30,BASE_SALARY,Base Salary,365.00,EUR
PAY000016,EMP0006,Alicia Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,2642.50,EUR
PAY000017,EMP0006,Alicia Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,755.00,EUR
PAY000018,EMP0006,Alicia Fernandez,ARD Spain SL,Spain,SHARED_SERVICES,2026-03,2026-03-30,BASE_SALARY,Base Salary,377.50,EUR
PAY000019,EMP0007,Alicia Garrido,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,2205.00,EUR
PAY000020,EMP0007,Alicia Garrido,ARD Spain SL,Spain,FIN-ADM,2026-03,2026-03-30,BASE_SALARY,Base Salary,630.00,EUR
